frozenset([u'acc']),frozenset([u'5more']),0.265625
frozenset([u'2']),frozenset([u'high']),0.25
frozenset([u'high']),frozenset([u'2']),0.25
frozenset([u'good']),frozenset([u'4']),0.2608695652173913
frozenset([u'unacc']),frozenset([u'high']),0.2677685950413223
frozenset([u'high']),frozenset([u'unacc']),0.75
frozenset([u'good']),frozenset([u'5more']),0.2608695652173913
frozenset([u'3']),frozenset([u'high']),0.25
frozenset([u'high']),frozenset([u'3']),0.25
frozenset([u'high']),frozenset([u'acc']),0.25
frozenset([u'acc']),frozenset([u'high']),0.28125
frozenset([u'good']),frozenset([u'low']),0.6666666666666667
frozenset([u'vgood']),frozenset([u'5more']),0.30769230769230765
frozenset([u'acc']),frozenset([u'3']),0.2578125
frozenset([u'5more']),frozenset([u'med']),0.25
frozenset([u'med']),frozenset([u'5more']),0.25
frozenset([u'med']),frozenset([u'acc']),0.2662037037037037
frozenset([u'acc']),frozenset([u'med']),0.2994791666666667
frozenset([u'5more']),frozenset([u'vhigh']),0.25
frozenset([u'vhigh']),frozenset([u'5more']),0.25
frozenset([u'acc']),frozenset([u'4']),0.265625
frozenset([u'4']),frozenset([u'med']),0.25
frozenset([u'med']),frozenset([u'4']),0.25
frozenset([u'low']),frozenset([u'5more']),0.25
frozenset([u'5more']),frozenset([u'low']),0.25
frozenset([u'good']),frozenset([u'med']),0.33333333333333337
frozenset([u'med']),frozenset([u'unacc']),0.6203703703703703
frozenset([u'low']),frozenset([u'3']),0.25
frozenset([u'3']),frozenset([u'low']),0.25
frozenset([u'vgood']),frozenset([u'med']),0.39999999999999997
frozenset([u'vhigh']),frozenset([u'unacc']),0.8333333333333334
frozenset([u'unacc']),frozenset([u'vhigh']),0.2975206611570248
frozenset([u'4']),frozenset([u'high']),0.25
frozenset([u'high']),frozenset([u'4']),0.25
frozenset([u'vgood']),frozenset([u'low']),0.6
frozenset([u'3']),frozenset([u'unacc']),0.6944444444444444
frozenset([u'5more']),frozenset([u'unacc']),0.6759259259259259
frozenset([u'low']),frozenset([u'4']),0.25
frozenset([u'4']),frozenset([u'low']),0.25
frozenset([u'4']),frozenset([u'unacc']),0.6759259259259259
frozenset([u'2']),frozenset([u'unacc']),0.7546296296296297
frozenset([u'unacc']),frozenset([u'2']),0.26942148760330575
frozenset([u'low']),frozenset([u'unacc']),0.5972222222222222
frozenset([u'low']),frozenset([u'2']),0.25
frozenset([u'2']),frozenset([u'low']),0.25
frozenset([u'2']),frozenset([u'med']),0.25
frozenset([u'med']),frozenset([u'2']),0.25
frozenset([u'2']),frozenset([u'vhigh']),0.25
frozenset([u'vhigh']),frozenset([u'2']),0.25
frozenset([u'4']),frozenset([u'vhigh']),0.25
frozenset([u'vhigh']),frozenset([u'4']),0.25
frozenset([u'vhigh']),frozenset([u'3']),0.25
frozenset([u'3']),frozenset([u'vhigh']),0.25
frozenset([u'3']),frozenset([u'med']),0.25
frozenset([u'med']),frozenset([u'3']),0.25
frozenset([u'vgood']),frozenset([u'4']),0.30769230769230765
frozenset([u'5more']),frozenset([u'high']),0.25
frozenset([u'high']),frozenset([u'5more']),0.25
frozenset([u'good']),frozenset([u'3']),0.2608695652173913
