NUC1_YEAST,0.75,0.67,0.51,0.29,0.50,0.00,0.52,0.36,MIT
ATP9_YEAST,0.78,0.65,0.40,0.16,0.50,0.00,0.63,0.22,MIT
ATP6_YEAST,0.52,0.64,0.34,0.16,0.50,0.00,0.57,0.22,MIT
OM45_YEAST,0.75,0.66,0.64,0.39,0.50,0.00,0.46,0.32,MIT
PORI_YEAST,0.41,0.49,0.58,0.22,0.50,0.00,0.52,0.22,MIT
YM38_YEAST,0.39,0.28,0.54,0.14,0.50,0.00,0.59,0.22,MIT
ODPA_YEAST,0.60,0.54,0.54,0.53,0.50,0.00,0.52,0.27,MIT
ODPB_YEAST,0.49,0.52,0.53,0.70,0.50,0.00,0.51,0.22,MIT
ODPX_YEAST,0.45,0.58,0.59,0.44,0.50,0.00,0.56,0.22,MIT
PT11_YEAST,0.50,0.32,0.49,0.49,0.50,0.00,0.48,0.32,MIT
PT12_YEAST,0.45,0.53,0.47,0.43,0.50,0.00,0.50,0.27,MIT
PT17_YEAST,0.75,0.60,0.43,0.35,0.50,0.00,0.45,0.27,MIT
PT22_YEAST,0.56,0.68,0.52,0.39,0.50,0.00,0.36,0.22,MIT
RTPT_YEAST,0.48,0.45,0.59,0.35,0.50,0.00,0.55,0.30,MIT
PT27_YEAST,0.26,0.28,0.60,0.20,0.50,0.00,0.54,0.31,MIT
PT91_YEAST,0.59,0.45,0.58,0.21,0.50,0.00,0.49,0.22,MIT
PT09_YEAST,0.48,0.52,0.49,0.35,0.50,0.50,0.51,0.22,MIT
PT94_YEAST,0.59,0.58,0.47,0.61,0.50,0.00,0.44,0.30,MIT
PT54_YEAST,0.50,0.57,0.62,0.25,0.50,0.00,0.51,0.22,MIT
PIF1_YEAST,0.59,0.61,0.51,0.62,0.50,0.00,0.51,0.38,MIT
LONM_YEAST,0.47,0.54,0.53,0.77,0.50,0.00,0.52,0.36,MIT
CAO_YEAST, 0.46,0.37,0.48,0.36,0.50,0.00,0.48,0.22,POX
IPY2_YEAST,0.42,0.65,0.58,0.34,0.50,0.00,0.50,0.22,MIT
DPSD_YEAST,0.51,0.46,0.40,0.65,0.50,0.00,0.49,0.22,MIT
PUT1_YEAST,0.60,0.59,0.47,0.47,0.50,0.00,0.53,0.22,MIT
RPD3_YEAST,0.37,0.30,0.51,0.15,0.50,0.00,0.58,0.26,NUC
RPB1_YEAST,0.44,0.62,0.53,0.27,0.50,0.00,0.49,0.22,NUC
RPC1_YEAST,0.56,0.61,0.52,0.19,0.50,0.00,0.52,0.32,NUC
RRN6_YEAST,0.60,0.57,0.52,0.14,0.50,0.00,0.46,0.48,NUC
RRN7_YEAST,0.42,0.38,0.52,0.29,0.50,0.00,0.42,0.22,NUC
RTG1_YEAST,0.41,0.46,0.58,0.08,0.50,0.00,0.51,0.28,NUC
S160_YEAST,0.46,0.49,0.55,0.18,0.50,0.00,0.56,0.22,NUC
SC12_YEAST,0.55,0.52,0.44,0.20,0.50,0.00,0.56,0.22,ME2
SEC2_YEAST,0.58,0.56,0.46,0.14,0.50,0.00,0.51,0.22,CYT
SC20_YEAST,0.46,0.47,0.44,0.18,1.00,0.00,0.46,0.22,ME2
SC21_YEAST,0.44,0.71,0.50,0.21,0.50,0.00,0.54,0.27,CYT
SC22_YEAST,0.56,0.49,0.32,0.22,0.50,0.00,0.50,0.22,ME2
SC23_YEAST,0.41,0.49,0.47,0.09,0.50,0.00,0.49,0.22,CYT
SEC4_YEAST,0.44,0.51,0.53,0.30,0.50,0.00,0.53,0.22,CYT
PMM_YEAST, 0.54,0.51,0.56,0.15,0.50,0.00,0.54,0.31,CYT
SEC6_YEAST,0.46,0.38,0.51,0.20,0.50,0.00,0.51,0.22,CYT
SC65_YEAST,0.41,0.40,0.56,0.17,0.50,0.00,0.56,0.22,CYT
SC66_YEAST,0.39,0.71,0.38,0.14,0.50,0.00,0.50,0.22,ME2
SEC7_YEAST,0.37,0.42,0.46,0.15,0.50,0.00,0.51,0.31,ME2
SC72_YEAST,0.59,0.55,0.57,0.18,0.50,0.00,0.51,0.22,CYT
SEC8_YEAST,0.48,0.51,0.50,0.24,0.50,0.00,0.54,0.38,CYT
SEC9_YEAST,0.39,0.30,0.63,0.20,0.50,0.00,0.43,0.47,CYT
SEN1_YEAST,0.47,0.37,0.46,0.28,0.50,0.00,0.52,0.99,NUC
SEN2_YEAST,0.48,0.50,0.47,0.29,0.50,0.00,0.46,0.27,NUC
SYSC_YEAST,0.30,0.33,0.55,0.12,0.50,0.00,0.53,0.38,CYT
SFL1_YEAST,0.49,0.49,0.52,0.18,0.50,0.00,0.51,0.25,NUC
SFP1_YEAST,0.54,0.59,0.57,0.34,0.50,0.00,0.49,0.22,NUC
GLYC_YEAST,0.53,0.49,0.47,0.21,0.50,0.00,0.53,0.22,CYT
SIC1_YEAST,0.42,0.43,0.67,0.70,0.50,0.00,0.42,0.25,CYT
NOT4_YEAST,0.47,0.44,0.53,0.18,0.50,0.00,0.47,0.29,NUC
SIN3_YEAST,0.40,0.49,0.53,0.23,0.50,0.00,0.44,0.26,NUC
SIN4_YEAST,0.45,0.65,0.51,0.17,0.50,0.00,0.49,0.22,NUC
SIP2_YEAST,0.42,0.42,0.55,0.31,0.50,0.00,0.43,0.22,NUC
SIR1_YEAST,0.45,0.41,0.53,0.49,0.50,0.00,0.49,0.31,NUC
