SODM_YEAST,0.54,0.47,0.58,0.40,0.50,0.00,0.46,0.27,MIT
HS77_YEAST,0.51,0.50,0.49,0.45,0.50,0.00,0.48,0.22,MIT
STF1_YEAST,0.55,0.41,0.67,0.61,0.50,0.00,0.49,0.14,MIT
STF2_YEAST,0.28,0.18,0.72,0.26,0.50,0.00,0.49,0.25,MIT
INV4_YEAST,0.75,0.76,0.58,0.22,0.50,0.00,0.49,0.22,EXC
SUV3_YEAST,0.61,0.54,0.54,0.38,0.50,0.00,0.54,0.29,MIT
TOA2_YEAST,0.52,0.49,0.59,0.21,0.50,0.00,0.47,0.22,NUC
TOP1_YEAST,0.41,0.42,0.53,0.17,0.50,0.00,0.48,0.58,NUC
TOP2_YEAST,0.45,0.36,0.50,0.19,0.50,0.00,0.53,0.70,NUC
TOP3_YEAST,0.53,0.51,0.54,0.21,0.50,0.00,0.45,0.22,NUC
TRNL_YEAST,0.49,0.38,0.49,0.15,0.50,0.00,0.53,0.25,NUC
TRM1_YEAST,0.53,0.45,0.52,0.29,0.50,0.00,0.55,0.38,MIT
TSL1_YEAST,0.79,0.56,0.53,0.19,0.50,0.00,0.47,0.35,CYT
TSM1_YEAST,0.50,0.50,0.48,0.34,0.50,0.00,0.52,0.27,NUC
GLRX_YEAST,0.52,0.50,0.60,0.20,0.50,0.00,0.52,0.22,CYT
TBA1_YEAST,0.59,0.46,0.57,0.17,0.50,0.00,0.52,0.22,CYT
TBB_YEAST, 0.53,0.42,0.53,0.19,0.50,0.00,0.47,0.22,CYT
TBA3_YEAST,0.59,0.46,0.55,0.17,0.50,0.00,0.52,0.25,CYT
EFTU_YEAST,0.61,0.73,0.50,0.58,0.50,0.00,0.50,0.22,MIT
TUP1_YEAST,0.50,0.43,0.56,0.17,0.50,0.00,0.35,0.22,NUC
TYE7_YEAST,0.36,0.52,0.61,0.33,0.50,0.00,0.52,0.37,NUC
TYR1_YEAST,0.66,0.54,0.53,0.17,0.50,0.00,0.54,0.22,CYT
UBA1_YEAST,0.52,0.51,0.48,0.12,0.50,0.00,0.54,0.31,CYT
UBC1_YEAST,0.56,0.46,0.51,0.25,0.50,0.00,0.54,0.22,CYT
UBC4_YEAST,0.47,0.46,0.49,0.27,0.50,0.00,0.59,0.22,CYT
UBC5_YEAST,0.50,0.46,0.49,0.27,0.50,0.00,0.60,0.22,CYT
UBC7_YEAST,0.50,0.44,0.57,0.28,0.50,0.00,0.57,0.22,CYT
