3,219,9540,14403,283,7818,156,2
3,10362,9232,11009,737,3537,2342,2
3,11867,3327,4814,1178,3837,120,2
3,16117,46197,92780,1026,40827,2944,2
3,22925,73498,32114,987,20070,903,2
3,9198,27472,32034,3232,18906,5130,2
3,5626,12220,11323,206,5038,244,2
3,23,2616,8118,145,3874,217,2
3,11594,7779,12144,3252,8035,3029,2
3,1420,10810,16267,1593,6766,1838,2
3,2932,6459,7677,2561,4573,1386,2
3,1454,6337,10704,133,6830,1831,2
3,8797,10646,14886,2471,8969,1438,2
3,1531,8397,6981,247,2505,1236,2
3,3463,9250,2368,779,302,1627,1
3,622,55,137,75,7,8,1
3,17773,1366,2474,3378,811,418,1
3,12434,540,283,1092,3,2233,1
3,15177,2024,3810,2665,232,610,1
3,2926,3195,3268,405,1680,693,1
3,5809,735,803,1393,79,429,1
3,5414,717,2155,2399,69,750,1
3,955,5479,6536,333,2840,707,1
3,286,1208,5241,2515,153,1442,1
3,45640,6958,6536,7368,1532,230,1
3,12759,7330,4533,1752,20,2631,1
3,11002,7075,4945,1152,120,395,1
3,3157,4888,2500,4477,273,2165,1
3,12356,6036,8887,402,1382,2794,1
3,112151,29627,18148,16745,4948,8550,1
3,694,8533,10518,443,6907,156,1
3,36847,43950,20170,36534,239,47943,1
3,327,918,4710,74,334,11,1
3,8170,6448,1139,2181,58,247,1
3,3009,521,854,3470,949,727,1
3,2438,8002,9819,6269,3459,3,1
3,16936,6250,1981,7332,118,64,1
3,13624,295,1381,890,43,84,1
3,5509,1461,2251,547,187,409,1
3,7107,1012,2974,806,355,1142,1
3,17023,5139,5230,7888,330,1755,1
1,30624,7209,4897,18711,763,2876,1
1,11686,2154,6824,3527,592,697,1
1,9670,2280,2112,520,402,347,1
