3,17546,4519,4602,1066,2259,2124,2
3,26373,36423,22019,5154,4337,16523,2
3,22647,9776,13792,2915,4482,5778,2
3,16165,4230,7595,201,4003,57,2
3,4113,20484,25957,1158,8604,5206,2
3,688,5491,11091,833,4239,436,2
3,15168,10556,12477,1920,6506,714,2
3,4591,15729,16709,33,6956,433,2
3,10850,7555,14961,188,6899,46,2
3,630,11095,23998,787,9529,72,2
3,9670,7027,10471,541,4618,65,2
3,5181,22044,21531,1740,7353,4985,2
3,3103,14069,21955,1668,6792,1452,2
3,44466,54259,55571,7782,24171,6465,2
3,11519,6152,10868,584,5121,1476,2
3,18291,1266,21042,5373,4173,14472,1
3,4420,5139,2661,8872,1321,181,1
3,20398,1137,3,4407,3,975,1
3,717,3587,6532,7530,529,894,1
3,10766,1175,2067,2096,301,167,1
3,1640,3259,3655,868,1202,1653,1
3,7005,829,3009,430,610,529,1
3,20874,1563,1783,2320,550,772,1
3,43265,5025,8117,6312,1579,14351,1
3,7864,542,4042,9735,165,46,1
3,24904,3836,5330,3443,454,3178,1
3,11405,596,1638,3347,69,360,1
3,12754,2762,2530,8693,627,1117,1
3,11314,3090,2062,35009,71,2698,1
3,3,2920,6252,440,223,709,1
3,403,254,610,774,54,63,1
3,503,112,778,895,56,132,1
3,9658,2182,1909,5639,215,323,1
3,56082,3504,8906,18028,1480,2498,1
3,14100,2132,3445,1336,1491,548,1
3,15587,1014,3970,910,139,1378,1
3,11818,1648,1694,2276,169,1647,1
3,19046,2770,2469,8853,483,2708,1
3,14438,2295,1733,3220,585,1561,1
3,18044,1080,2000,2555,118,1266,1
3,11134,793,2988,2715,276,610,1
3,11173,2521,3355,1517,310,222,1
3,6990,3880,5380,1647,319,1160,1
3,20049,1891,2362,5343,411,933,1
3,8258,2344,2147,3896,266,635,1
