2,11223,14881,26839,1234,9606,1102,2
2,8565,4980,67298,131,38102,1215,2
2,16823,928,2743,11559,332,3486,2
2,27082,6817,10790,1365,4111,2139,2
3,381,4025,9670,388,7271,1371,2
3,2320,5763,11238,767,5162,2158,2
3,1689,6964,26316,1456,15469,37,2
3,2771,6939,15541,2693,6600,1115,2
3,27380,7184,12311,2809,4621,1022,2
3,5981,14641,20521,2005,12218,445,2
3,1210,10044,22294,1741,12638,3137,2
3,117,6264,21203,228,8682,1111,2
3,37,1275,22272,137,6747,110,2
3,4692,6128,8025,1619,4515,3105,2
3,22335,1196,2406,2046,101,558,1
3,6211,337,683,1089,41,296,1
3,20105,1887,1939,8164,716,790,1
3,3884,3801,1641,876,397,4829,1
3,6338,2256,1668,1492,311,686,1
3,5841,1450,1162,597,476,70,1
3,38793,3154,2648,1034,96,1242,1
3,3225,3294,1902,282,68,1114,1
3,28257,944,2146,3881,600,270,1
3,17770,4591,1617,9927,246,532,1
3,34454,7435,8469,2540,1711,2893,1
3,1821,1364,3450,4006,397,361,1
3,10683,21858,15400,3635,282,5120,1
3,11635,922,1614,2583,192,1068,1
3,1206,3620,2857,1945,353,967,1
3,20918,1916,1573,1960,231,961,1
3,9785,848,1172,1677,200,406,1
3,9385,1530,1422,3019,227,684,1
3,3352,1181,1328,5502,311,1000,1
3,2647,2761,2313,907,95,1827,1
3,518,4180,3600,659,122,654,1
3,23632,6730,3842,8620,385,819,1
3,12377,865,3204,1398,149,452,1
3,9602,1316,1263,2921,841,290,1
3,11535,1666,1428,6838,64,743,1
3,11442,1032,582,5390,74,247,1
3,9612,577,935,1601,469,375,1
3,4446,906,1238,3576,153,1014,1
3,27167,2801,2128,13223,92,1902,1
